# Generated on: 2025-06-28T03:22:18.487Z
# Search Parameters: {"propertyValue":550000,"downPayment":20000,"loanAmount":530000,"creditScore":698,"propertyType":"single_family","occupancy":"primary","zipCode":"44121"}
# File Type: mortgage_rates

Lender,Rate,APR,Payment,Points,Upfront_Costs,Loan_Type,Quote_Type
Open Mortgage,5.625%,6.518%,"$3,790.513",0.369,"$20,311.7",VA,Wholesale
The Loan Store LLC,5.625%,6.648%,"$3,790.513",1.0150000000000006,"$25,471.5",VA,Wholesale
HomeBridge Wholesale,5.625%,6.663%,"$3,790.513",2.676,"$26,076.8",VA,Wholesale
Jet Advantage Mortgage,5.625%,6.740%,"$3,790.513",1.3329999999999984,"$29,114.9",VA,Wholesale
Forward Lending,5.625%,6.740%,"$3,790.513",1.3329999999999984,"$29,114.9",VA,Wholesale
"VIP Mortgage, Inc.",5.625%,6.031%,"$3,139.768",-0.29699999999999704,"$6,070.7",VA,Wholesale
NexBank,5.625%,6.047%,"$3,139.768",-0.08356000000000563,"$6,934.8",VA,Wholesale
AFR Wholesale,5.625%,6.052%,"$3,139.768",0.0589999999999975,"$7,243.4",VA,Wholesale
Pennymac TPO,5.625%,6.056%,"$3,139.768",-0.23,"$7,445.2",VA,Wholesale
Loan Factory Direct - PennyMac,5.625%,6.056%,"$3,139.768",-0.23,"$7,445.2",VA,Wholesale
Kind Lending,5.625%,6.087%,"$3,139.768",0.34998,"$9,163.2",VA,Wholesale
Loan Factory Direct - Kind Lending,5.625%,6.087%,"$3,139.768",0.34998,"$9,163.2",VA,Wholesale
JMAC Lending Inc.,5.625%,6.107%,"$3,139.768",0.52692,"$10,264.5",VA,Wholesale
NewRez LLC,5.625%,6.112%,"$3,139.768",-0.026,"$10,559.6",VA,Wholesale
CMG Financial,5.625%,6.114%,"$3,139.768",0.501,"$10,668.7",VA,Wholesale
Loan Factory Direct - Rocket,5.625%,6.155%,"$3,139.768",0.4099999999999966,"$12,899.4",VA,Wholesale
Rocket Pro,5.625%,6.155%,"$3,139.768",0.4099999999999966,"$12,899.4",VA,Wholesale
Sun West Mtg Co Wholesale,5.625%,6.200%,"$3,139.768",1.60938,"$15,350.4",VA,Wholesale
TPO GO,5.625%,6.212%,"$3,139.768",0.5259999999999962,"$15,986.5",VA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.625%,6.261%,"$3,139.768",0.711,"$18,631.9",VA,Wholesale
Open Mortgage,5.625%,6.266%,"$3,139.768",0.119,"$18,948.2",VA,Wholesale
Orion Lending,5.625%,6.289%,"$3,139.768",0.716,"$20,159",VA,Wholesale
The Loan Store LLC,5.625%,6.294%,"$3,139.768",0.09099999999999397,"$20,431.7",VA,Wholesale
Loan United Wholesale,5.625%,6.341%,"$3,139.768",2.477000000000004,"$22,946.2",VA,Wholesale
HomeBridge Wholesale,5.625%,6.349%,"$3,139.768",2.676,"$23,349.7",VA,Wholesale
Jet Advantage Mortgage,5.625%,6.394%,"$3,139.768",0.7079999999999984,"$25,706",VA,Wholesale
Forward Lending,5.625%,6.394%,"$3,139.768",0.7079999999999984,"$25,706",VA,Wholesale
Union Home Mortgage,5.625%,6.780%,"$3,139.768",2.7180000000000035,"$45,395.8",VA,Wholesale
"New American Funding, LLC.",5.625%,5.991%,"$3,040",1.904,"$21,405",VA,Retail
"New American Funding, LLC.",5.625%,6.443%,"$4,022",2.8,"$14,784",Conventional,Retail
Mutual of Omaha Mortgage,5.750%,5.946%,"$3,081.26",0,"$11,071.44",VA,Retail
Garden State Home Loans - HE,5.750%,6.031%,"$3,081.26",0.688,"$15,792.64",VA,Retail
PenFed Credit Union,5.750%,5.963%,"$2,889",0.875,"$20,046.25",Conventional,Retail
Sun West Mtg Co Wholesale,5.750%,6.246%,"$3,829.332",-0.48688,"$3,916.9",VA,Wholesale
NexBank,5.750%,6.281%,"$3,829.332",-0.3695900000000023,"$5,374.8",VA,Wholesale
Pennymac TPO,5.750%,6.288%,"$3,829.332",-0.55,"$5,699.9",VA,Wholesale
Loan Factory Direct - PennyMac,5.750%,6.288%,"$3,829.332",-0.55,"$5,699.9",VA,Wholesale
CMG Financial,5.750%,6.312%,"$3,829.332",-0.231,"$6,676.2",VA,Wholesale
NewRez LLC,5.750%,6.331%,"$3,829.332",-0.592,"$7,472.5",VA,Wholesale
Kind Lending,5.750%,6.367%,"$3,829.332",0.3147,"$8,970.7",VA,Wholesale
Loan Factory Direct - Kind Lending,5.750%,6.367%,"$3,829.332",0.3147,"$8,970.7",VA,Wholesale
Loan Factory Direct - Rocket,5.750%,6.399%,"$3,829.332",-0.06999999999999318,"$10,281.4",VA,Wholesale
