# Generated on: 2025-06-27T22:26:37.051Z
# Search Parameters: {"propertyValue":650000,"downPayment":150000,"creditScore":750,"propertyType":"single_family","occupancy":"primary","zipCode":"44053"}
# File Type: mortgage_rates

Lender,Rate,APR,Payment,Points,Upfront_Costs,Loan_Type,Quote_Type
JMAC Lending Inc.,5.250%,6.248%,"$4,156.18",1.5256,"$15,711.5",VA,Wholesale
Open Mortgage,5.250%,6.292%,"$4,156.18",1.787,"$17,063",VA,Wholesale
Windsor Mortgage Solutions,5.250%,6.329%,"$4,156.18",2.132000000000005,"$18,200.5",VA,Wholesale
Guaranteed Rate,5.250%,5.554%,"$4,023.41",0.729,"$12,587.64",Conventional,Retail
NBKC Bank,5.250%,5.346%,"$4,024",0.632,"$3,163",Conventional,Retail
"Mutual of Omaha Mortgage, Inc.",5.250%,5.356%,"$4,024",0.554,"$3,473",Conventional,Retail
"Reliant Home Funding, Inc.",5.250%,6.377%,"$4,024",0.708,"$14,297",FHA,Retail
"Tomo Mortgage, LLC.",5.250%,5.541%,"$2,764",2.033,"$16,431",VA,Retail
Mutual of Omaha Mortgage,5.375%,6.032%,"$3,011.2",0.689,"$14,445.2",FHA,Retail
Mutual of Omaha Mortgage,5.375%,5.595%,"$2,802.66",0.71,"$12,047.8",VA,Retail
First Federal Bank Mortgage Lenders,5.375%,5.629%,"$2,838",1.535,"$14,034",VA,Retail
Sage Home Loans,5.375%,5.657%,"$2,837.69",1.791,"$15,332.25",VA,Retail
Sage Home Loans,5.375%,6.111%,"$3,060.24",1.905,"$18,460.13",FHA,Retail
Garden State Home Loans - HE,5.375%,6.130%,"$3,011.2",1.963,"$19,391.57",FHA,Retail
Sebonic,5.375%,5.522%,"$4,056",0.958,"$14,179.89",Conventional,Retail
Bison State Bank,5.375%,5.618%,"$2,803",1.47,"$25,561.45",Conventional,Retail
"Tomo Mortgage, LLC.",5.375%,5.628%,"$2,803",1.589,"$26,752.045",Conventional,Retail
First Federal Bank,5.375%,5.638%,"$2,803",1.694,"$27,803.57",Conventional,Retail
Everstream Mortgage,5.375%,5.530%,"$4,056.379",0.7120000000000033,"$5,011.7",Conventional,Wholesale
Open Mortgage,5.375%,5.681%,"$4,056.379",0.307,"$9,841.5",Conventional,Wholesale
Sun West Mtg Co Wholesale,5.375%,5.823%,"$4,056.379",-0.922,"$14,326",Conventional,Wholesale
Provident Funding,5.375%,5.851%,"$4,056.379",-1.25,"$15,186.8",Conventional,Wholesale
NewRez LLC,5.375%,5.865%,"$4,056.379",-0.423,"$15,612.3",Conventional,Wholesale
