# Generated on: 2025-06-27T22:26:37.051Z
# Search Parameters: {"propertyValue":650000,"downPayment":150000,"creditScore":750,"propertyType":"single_family","occupancy":"primary","zipCode":"44053"}
# File Type: mortgage_rates

Lender,Rate,APR,Payment,Points,Upfront_Costs,Loan_Type,Quote_Type
HomeBridge Wholesale,5.500%,6.236%,"$2,891.511",1.121,"$10,282",FHA,Wholesale
JMAC Lending Inc.,5.500%,6.237%,"$2,891.511",0.70225,"$10,377.5",FHA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.500%,6.243%,"$2,891.511",0.795,"$10,658.8",FHA,Wholesale
Click n' Close,5.500%,6.246%,"$2,891.511",0.60137,"$10,793.1",FHA,Wholesale
Union Home Mortgage,5.500%,6.460%,"$2,891.511",2.7180000000000035,"$21,470.3",FHA,Wholesale
Loan United Wholesale,5.500%,5.937%,"$2,935.563",-0.1770000000000067,"$7,555.1",VA,Wholesale
Pennymac TPO,5.500%,5.943%,"$2,935.563",0.171,"$7,855",VA,Wholesale
Loan Factory Direct - PennyMac,5.500%,5.943%,"$2,935.563",0.171,"$7,855",VA,Wholesale
AmWest Funding Corp,5.500%,5.951%,"$2,935.563",0.211,"$8,268.6",VA,Wholesale
NewRez LLC,5.500%,5.954%,"$2,935.563",0.59,"$8,454.7",VA,Wholesale
"VIP Mortgage, Inc.",5.500%,5.965%,"$2,935.563",0.3499999999999943,"$9,013.1",VA,Wholesale
NexBank,5.500%,5.965%,"$2,935.563",0.35586000000000695,"$9,017.6",VA,Wholesale
Eleven Mortgage,5.500%,5.974%,"$2,935.563",2.6642,"$9,526",VA,Wholesale
AFR Wholesale,5.500%,5.978%,"$2,935.563",0.671999999999997,"$9,711.1",VA,Wholesale
Sun West Mtg Co Wholesale,5.500%,5.984%,"$2,935.563",0.70188,"$10,030.9",VA,Wholesale
Windsor Mortgage Solutions,5.500%,5.986%,"$2,935.563",0.5706299999999942,"$10,128",VA,Wholesale
The Loan Store LLC,5.500%,5.989%,"$2,935.563",0.42499999999999716,"$10,279.7",VA,Wholesale
CMG Financial,5.500%,5.990%,"$2,935.563",1.017,"$10,367.7",VA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.500%,5.992%,"$2,935.563",0.733,"$10,450.3",VA,Wholesale
TPO GO,5.500%,5.994%,"$2,935.563",1.1020000000000039,"$10,548.6",VA,Wholesale
Plaza Home Mortgage Inc.,5.500%,5.994%,"$2,935.563",0.77707,"$10,549",VA,Wholesale
Open Mortgage,5.500%,5.995%,"$2,935.563",0.542,"$10,626.1",VA,Wholesale
Jet Advantage Mortgage,5.500%,6.000%,"$2,935.563",1.1899999999999977,"$10,874.3",VA,Wholesale
Forward Lending,5.500%,6.000%,"$2,935.563",1.1899999999999977,"$10,874.3",VA,Wholesale
Click n' Close,5.500%,6.002%,"$2,935.563",0.61309,"$10,967.9",VA,Wholesale
Orion Lending,5.500%,6.006%,"$2,935.563",1.275,"$11,184.6",VA,Wholesale
Kind Lending,5.500%,6.013%,"$2,935.563",0.99912,"$11,567.7",VA,Wholesale
Loan Factory Direct - Kind Lending,5.500%,6.013%,"$2,935.563",0.99912,"$11,567.7",VA,Wholesale
Power TPO,5.500%,6.014%,"$2,935.563",0.6069999999999993,"$11,608.5",VA,Wholesale
JMAC Lending Inc.,5.500%,6.025%,"$2,935.563",1.09024,"$12,168.1",VA,Wholesale
Union Home Mortgage,5.500%,6.211%,"$2,935.563",2.7180000000000035,"$21,747.2",VA,Wholesale
Guaranteed Rate,5.500%,5.578%,"$4,089.5",-0.127,"$9,588.54",Conventional,Retail
PenFed Credit Union,5.500%,5.722%,"$4,090",0,"$7,251",VA,Retail
First Federal Bank,5.500%,5.699%,"$2,842",0.963,"$11,076",VA,Retail
PenFed Credit Union,5.500%,6.806%,"$2,842",1,"$15,759",FHA,Retail
"Tomo Mortgage, LLC.",5.500%,6.917%,"$2,842",2.705,"$22,297",FHA,Retail
Optimum First Mortgage,5.624%,5.736%,"$2,880.84",0,"$6,089.09",VA,Retail
Sage Home Loans,5.624%,6.229%,"$3,139.8",0.55,"$11,559.67",FHA,Retail
Sage Home Loans,5.624%,5.800%,"$2,916.85",0.645,"$9,524.83",VA,Retail
Garden State Home Loans - HE,5.624%,6.249%,"$3,089.38",0.608,"$12,609.79",FHA,Retail
Garden State Home Loans - HE,5.624%,5.839%,"$2,880.84",0.903,"$11,583.77",VA,Retail
Tomo,5.624%,6.257%,"$3,140",0.963,"$15,162",FHA,Retail
"Tomo Mortgage, LLC.",5.624%,5.787%,"$2,881",0.544,"$16,291.82",Conventional,Retail
First Federal Bank,5.624%,5.808%,"$2,881",0.78,"$18,654",Conventional,Retail
Guaranteed Rate,5.624%,6.297%,"$3,138.55",0.587,"$19,559.8",FHA,Retail
"Tomo Mortgage, LLC.",5.624%,5.786%,"$2,881",0.534,"$8,929",VA,Retail
"Reliant Home Funding, Inc.",5.624%,5.911%,"$2,881",1.519,"$15,854",VA,Retail
"SunnyHill Financial, Inc.",5.625%,5.742%,"$2,881.16",0,"$6,380.28",VA,Retail
Mutual of Omaha Mortgage,5.625%,6.191%,"$3,089.7",0,"$9,610.36",FHA,Retail
Mutual of Omaha Mortgage,5.625%,5.761%,"$2,881.16",0,"$7,403.16",VA,Retail
Alliant Credit Union,5.625%,6.285%,"$3,089.7",0.932,"$14,373.41",FHA,Retail
Us Bank,5.625%,5.903%,"$4,122.78",0.913,"$8,391.685",Conventional,Retail
Everstream Mortgage,5.625%,5.698%,"$4,122.777",0.1792999999999978,"$2,345.5",Conventional,Wholesale
Open Mortgage,5.625%,5.839%,"$4,122.777",-0.29,"$6,853.6",Conventional,Wholesale
Sun West Mtg Co Wholesale,5.625%,5.970%,"$4,122.777",-1.5887,"$10,989.2",Conventional,Wholesale
Provident Funding,5.625%,6.024%,"$4,122.777",-1.75,"$12,684.3",Conventional,Wholesale
BluePoint Mortgage,5.625%,6.025%,"$4,122.777",-1.496,"$12,704.4",Conventional,Wholesale
NewRez LLC,5.625%,6.026%,"$4,122.777",-0.995,"$12,749.4",Conventional,Wholesale
New Wave Lending Group,5.625%,6.044%,"$4,122.777",-1.375,"$13,310",Conventional,Wholesale
"VIP Mortgage, Inc.",5.625%,6.048%,"$4,122.777",-1.2207099999999969,"$13,431.5",Conventional,Wholesale
Click n' Close,5.625%,6.052%,"$4,122.777",-1.29698,"$13,550.3",Conventional,Wholesale
Power TPO,5.625%,6.055%,"$4,122.777",-1.2360000000000042,"$13,655.3",Conventional,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.625%,6.058%,"$4,122.777",-0.938,"$13,745.4",Conventional,Wholesale
Loan Factory Direct - Rocket,5.625%,6.059%,"$4,122.777",-0.882000000000005,"$13,775.5",Conventional,Wholesale
Rocket Pro,5.625%,6.059%,"$4,122.777",-0.882000000000005,"$13,775.5",Conventional,Wholesale
"National Mortgage Service, Inc. (NMSI)",5.625%,6.064%,"$4,122.777",-1.25,"$13,935.6",Conventional,Wholesale
AD Mortgage,5.625%,6.069%,"$4,122.777",-1.2180000000000035,"$14,095.8",Conventional,Wholesale
AmWest Funding Corp,5.625%,6.072%,"$4,122.777",-1.2,"$14,185.9",Conventional,Wholesale
Loan United Wholesale,5.625%,6.076%,"$4,122.777",-1.051000000000002,"$14,306",Conventional,Wholesale
AFR Wholesale,5.625%,6.077%,"$4,122.777",-1.0100000000000051,"$14,331",Conventional,Wholesale
The Loan Store LLC,5.625%,6.078%,"$4,122.777",-1.3640000000000043,"$14,366.1",Conventional,Wholesale
Plaza Home Mortgage Inc.,5.625%,6.089%,"$4,122.777",-0.97174,"$14,702.7",Conventional,Wholesale
Pennymac TPO,5.625%,6.091%,"$4,122.777",-1.094,"$14,766.4",Conventional,Wholesale
Loan Factory Direct - PennyMac,5.625%,6.091%,"$4,122.777",-1.094,"$14,766.4",Conventional,Wholesale
Kind Lending,5.625%,6.095%,"$4,122.777",-0.86085,"$14,882.3",Conventional,Wholesale
Loan Factory Direct - Kind Lending,5.625%,6.095%,"$4,122.777",-0.86085,"$14,882.3",Conventional,Wholesale
Eleven Mortgage,5.625%,6.098%,"$4,122.777",0.032,"$14,976.7",Conventional,Wholesale
Nations Direct Mortgage,5.625%,6.108%,"$4,122.777",-0.775,"$15,312",Conventional,Wholesale
JMAC Lending Inc.,5.625%,6.118%,"$4,122.777",-0.91425,"$15,616.1",Conventional,Wholesale
Windsor Mortgage Solutions,5.625%,6.133%,"$4,122.777",-0.8235499999999973,"$16,070",Conventional,Wholesale
NexBank,5.625%,6.135%,"$4,122.777",-0.9158099999999934,"$16,143.8",Conventional,Wholesale
TPO GO,5.625%,6.170%,"$4,122.777",-0.367999999999995,"$17,223.9",Conventional,Wholesale
Orion Lending,5.625%,6.182%,"$4,122.777",-0.672,"$17,579.2",Conventional,Wholesale
HomeBridge Wholesale,5.625%,6.203%,"$4,122.777",-0.395,"$18,214.9",Conventional,Wholesale
Union Home Mortgage,5.625%,6.212%,"$4,122.777",-0.33899999999999864,"$18,495.2",Conventional,Wholesale
NewRez LLC,5.625%,5.935%,"$4,194.92",-2.035,"$-4,736.1",FHA,Wholesale
AFR Wholesale,5.625%,5.951%,"$4,194.92",-1.945999999999998,"$-4,226.9",FHA,Wholesale
Pennymac TPO,5.625%,6.015%,"$4,194.92",-1.626,"$-2,179.6",FHA,Wholesale
Loan Factory Direct - PennyMac,5.625%,6.015%,"$4,194.92",-1.626,"$-2,179.6",FHA,Wholesale
Eleven Mortgage,5.625%,6.026%,"$4,194.92",-0.3451,"$-1,818.5",FHA,Wholesale
"VIP Mortgage, Inc.",5.625%,6.035%,"$4,194.92",-1.8269999999999982,"$-1,522.6",FHA,Wholesale
Loan Factory Direct - Kind Lending,5.625%,6.052%,"$4,194.92",-1.39302,$-993.2,FHA,Wholesale
Kind Lending,5.625%,6.052%,"$4,194.92",-1.39302,$-993.2,FHA,Wholesale
Click n' Close,5.625%,6.057%,"$4,194.92",-1.62703,$-809.9,FHA,Wholesale
Rocket Pro,5.625%,6.061%,"$4,194.92",-1.3859999999999957,$-702.7,FHA,Wholesale
Plaza Home Mortgage Inc.,5.625%,6.065%,"$4,194.92",-1.38198,$-554.9,FHA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.625%,6.076%,"$4,194.92",-1.343,$-229.1,FHA,Wholesale
Jet Advantage Mortgage,5.625%,6.102%,"$4,194.92",-0.804000000000002,$606.1,FHA,Wholesale
Forward Lending,5.625%,6.102%,"$4,194.92",-0.804000000000002,$606.1,FHA,Wholesale
Loan United Wholesale,5.625%,6.105%,"$4,194.92",-1.2319999999999993,$718,FHA,Wholesale
TPO GO,5.625%,6.106%,"$4,194.92",-0.8029999999999973,$738.5,FHA,Wholesale
New Wave Lending Group,5.625%,6.106%,"$4,194.92",-1.375,$753.7,FHA,Wholesale
AD Mortgage,5.625%,6.141%,"$4,194.92",-1.0859999999999985,"$1,843.6",FHA,Wholesale
"National Mortgage Service, Inc. (NMSI)",5.625%,6.187%,"$4,194.92",-0.875,"$3,300",FHA,Wholesale
Sun West Mtg Co Wholesale,5.625%,6.221%,"$4,194.92",-0.6631,"$4,379.1",FHA,Wholesale
JMAC Lending Inc.,5.625%,6.299%,"$4,194.92",-0.1801,"$6,838.8",FHA,Wholesale
Open Mortgage,5.625%,6.422%,"$4,194.92",0.565,"$10,633.3",FHA,Wholesale
AmWest Funding Corp,5.625%,6.492%,"$4,194.92",1.115,"$12,797.7",FHA,Wholesale
Windsor Mortgage Solutions,5.625%,6.608%,"$4,194.92",1.558880000000002,"$16,331.3",FHA,Wholesale
Orion Lending,5.625%,6.662%,"$4,194.92",2.756,"$17,971.8",FHA,Wholesale
NewRez LLC,5.625%,6.041%,"$4,258.829",-2.045,"$-2,878.3",VA,Wholesale
"VIP Mortgage, Inc.",5.625%,6.059%,"$4,258.829",-1.8370000000000033,"$-2,294.1",VA,Wholesale
Loan Factory Direct - Rocket,5.625%,6.065%,"$4,258.829",-1.5190000000000055,"$-2,097.6",VA,Wholesale
Rocket Pro,5.625%,6.065%,"$4,258.829",-1.5190000000000055,"$-2,097.6",VA,Wholesale
Click n' Close,5.625%,6.103%,"$4,258.829",-1.62703,$-872.4,VA,Wholesale
Loan Factory Direct - PennyMac,5.625%,6.109%,"$4,258.829",-1.478,$-670.6,VA,Wholesale
Pennymac TPO,5.625%,6.109%,"$4,258.829",-1.478,$-670.6,VA,Wholesale
Plaza Home Mortgage Inc.,5.625%,6.129%,"$4,258.829",-1.27198,$-44.9,VA,Wholesale
Loan Factory Direct - Kind Lending,5.625%,6.133%,"$4,258.829",-1.22302,$78.9,VA,Wholesale
Kind Lending,5.625%,6.133%,"$4,258.829",-1.22302,$78.9,VA,Wholesale
Eleven Mortgage,5.625%,6.135%,"$4,258.829",-0.052,$135.9,VA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.625%,6.162%,"$4,258.829",-1.093,"$1,009.6",VA,Wholesale
Jet Advantage Mortgage,5.625%,6.185%,"$4,258.829",-0.5739999999999981,"$1,754.1",VA,Wholesale
Forward Lending,5.625%,6.185%,"$4,258.829",-0.5739999999999981,"$1,754.1",VA,Wholesale
Loan United Wholesale,5.625%,6.221%,"$4,258.829",-1.0829999999999984,"$2,870.9",VA,Wholesale
AFR Wholesale,5.625%,6.223%,"$4,258.829",-0.6340000000000003,"$2,958.8",VA,Wholesale
Sun West Mtg Co Wholesale,5.625%,6.289%,"$4,258.829",-0.6631,"$5,041.9",VA,Wholesale
Union Home Mortgage,5.625%,6.372%,"$4,258.829",-0.013999999999995794,"$7,622.3",VA,Wholesale
The Loan Store LLC,5.625%,6.431%,"$4,258.829",0.26500000000000057,"$9,452.5",VA,Wholesale
JMAC Lending Inc.,5.625%,6.447%,"$4,258.829",0.413,"$9,959.2",VA,Wholesale
Open Mortgage,5.625%,6.514%,"$4,258.829",0.815,"$12,037.6",VA,Wholesale
Windsor Mortgage Solutions,5.625%,6.652%,"$4,258.829",1.7588800000000049,"$16,271.4",VA,Wholesale
Orion Lending,5.625%,6.737%,"$4,258.829",2.756,"$18,841.6",VA,Wholesale
Loan Factory Direct - PennyMac,5.625%,6.463%,"$3,539.172",-0.266,"$4,746.3",FHA,Wholesale
Pennymac TPO,5.625%,6.463%,"$3,539.172",-0.266,"$4,746.3",FHA,Wholesale
Loan United Wholesale,5.625%,6.479%,"$3,539.172",-0.8160000000000025,"$5,382.9",FHA,Wholesale
Eleven Mortgage,5.625%,6.482%,"$3,539.172",1.952,"$5,500",FHA,Wholesale
NewRez LLC,5.625%,6.484%,"$3,539.172",-0.016,"$5,545.8",FHA,Wholesale
CMG Financial,5.625%,6.485%,"$3,539.172",0.251,"$5,596.7",FHA,Wholesale
AFR Wholesale,5.625%,6.509%,"$3,539.172",0.1634600000000006,"$6,515.7",FHA,Wholesale
Sun West Mtg Co Wholesale,5.625%,6.522%,"$3,539.172",0.60938,"$7,039.9",FHA,Wholesale
AD Mortgage,5.625%,6.529%,"$3,539.172",-0.015000000000000568,"$7,297.7",FHA,Wholesale
Loan Factory Direct - Kind Lending,5.625%,6.552%,"$3,539.172",0.40998,"$8,188.8",FHA,Wholesale
Kind Lending,5.625%,6.552%,"$3,539.172",0.40998,"$8,188.8",FHA,Wholesale
Open Mortgage,5.625%,6.557%,"$3,539.172",0.119,"$8,362",FHA,Wholesale
"VIP Mortgage, Inc.",5.625%,6.561%,"$3,539.172",0.14619000000000426,"$8,526",FHA,Wholesale
NexBank,5.625%,6.575%,"$3,539.172",0.3821700000000021,"$9,065.7",FHA,Wholesale
Rocket Pro,5.625%,6.586%,"$3,539.172",0.6080000000000041,"$9,451.9",FHA,Wholesale
Plaza Home Mortgage Inc.,5.625%,6.599%,"$3,539.172",0.18332,"$9,962.8",FHA,Wholesale
Jet Advantage Mortgage,5.625%,6.608%,"$3,539.172",1.1029999999999944,"$10,317.6",FHA,Wholesale
Forward Lending,5.625%,6.608%,"$3,539.172",1.1029999999999944,"$10,317.6",FHA,Wholesale
HomeBridge Wholesale,5.625%,6.665%,"$3,539.172",1.051,"$12,471.8",FHA,Wholesale
NewRez LLC,5.625%,6.157%,"$3,593.091",-0.026,"$5,269.9",VA,Wholesale
Loan United Wholesale,5.625%,6.158%,"$3,593.091",-0.6149999999999949,"$5,290.5",VA,Wholesale
Pennymac TPO,5.625%,6.170%,"$3,593.091",-0.23,"$5,781.8",VA,Wholesale
Loan Factory Direct - PennyMac,5.625%,6.170%,"$3,593.091",-0.23,"$5,781.8",VA,Wholesale
Eleven Mortgage,5.625%,6.190%,"$3,593.091",2.093,"$6,572.8",VA,Wholesale
CMG Financial,5.625%,6.219%,"$3,593.091",0.501,"$7,699.9",VA,Wholesale
Loan Factory Direct - Rocket,5.625%,6.252%,"$3,593.091",0.6269999999999953,"$8,997.6",VA,Wholesale
Rocket Pro,5.625%,6.252%,"$3,593.091",0.6269999999999953,"$8,997.6",VA,Wholesale
NexBank,5.625%,6.266%,"$3,593.091",0.45678999999999803,"$9,539.4",VA,Wholesale
Sun West Mtg Co Wholesale,5.625%,6.266%,"$3,593.091",0.60938,"$9,552.7",VA,Wholesale
Open Mortgage,5.625%,6.271%,"$3,593.091",0.369,"$9,731.7",VA,Wholesale
Kind Lending,5.625%,6.273%,"$3,593.091",0.65998,"$9,814.3",VA,Wholesale
Loan Factory Direct - Kind Lending,5.625%,6.273%,"$3,593.091",0.65998,"$9,814.3",VA,Wholesale
Plaza Home Mortgage Inc.,5.625%,6.294%,"$3,593.091",0.29332,"$10,633",VA,Wholesale
Jet Advantage Mortgage,5.625%,6.319%,"$3,593.091",1.3329999999999984,"$11,613.6",VA,Wholesale
Forward Lending,5.625%,6.319%,"$3,593.091",1.3329999999999984,"$11,613.6",VA,Wholesale
The Loan Store LLC,5.625%,6.363%,"$3,593.091",1.0150000000000006,"$13,330.1",VA,Wholesale
AFR Wholesale,5.625%,6.415%,"$3,593.091",1.7579999999999956,"$15,325.9",VA,Wholesale
Loan United Wholesale,5.625%,6.218%,"$2,931.576",-0.8160000000000025,"$2,836.6",FHA,Wholesale
AmWest Funding Corp,5.625%,6.237%,"$2,931.576",-0.649,"$3,814.4",FHA,Wholesale
Loan Factory Direct - PennyMac,5.625%,6.255%,"$2,931.576",-0.266,"$4,746.3",FHA,Wholesale
Pennymac TPO,5.625%,6.255%,"$2,931.576",-0.266,"$4,746.3",FHA,Wholesale
AFR Wholesale,5.625%,6.261%,"$2,931.576",-0.12099999999999511,"$5,067.1",FHA,Wholesale
AD Mortgage,5.625%,6.264%,"$2,931.576",-0.42600000000000193,"$5,204.7",FHA,Wholesale
"National Mortgage Service, Inc. (NMSI)",5.625%,6.264%,"$2,931.576",-0.5,"$5,209.7",FHA,Wholesale
Eleven Mortgage,5.625%,6.269%,"$2,931.576",1.952,"$5,500",FHA,Wholesale
NewRez LLC,5.625%,6.270%,"$2,931.576",-0.016,"$5,545.8",FHA,Wholesale
CMG Financial,5.625%,6.271%,"$2,931.576",0.251,"$5,596.7",FHA,Wholesale
NexBank,5.625%,6.281%,"$2,931.576",-0.19992999999999483,"$6,101.3",FHA,Wholesale
Loan Factory Direct - Kind Lending,5.625%,6.282%,"$2,931.576",0.00825,"$6,142.9",FHA,Wholesale
Kind Lending,5.625%,6.282%,"$2,931.576",0.00825,"$6,142.9",FHA,Wholesale
Power TPO,5.625%,6.293%,"$2,931.576",0.1629999999999967,"$6,676.4",FHA,Wholesale
"VIP Mortgage, Inc.",5.625%,6.293%,"$2,931.576",-0.21699999999999875,"$6,676.4",FHA,Wholesale
Rocket Pro,5.625%,6.297%,"$2,931.576",0.10999999999999943,"$6,915.8",FHA,Wholesale
Sun West Mtg Co Wholesale,5.625%,6.300%,"$2,931.576",0.60938,"$7,039.9",FHA,Wholesale
Open Mortgage,5.625%,6.301%,"$2,931.576",-0.131,"$7,088.9",FHA,Wholesale
Windsor Mortgage Solutions,5.625%,6.303%,"$2,931.576",-0.22938000000000613,"$7,224.5",FHA,Wholesale
TPO GO,5.625%,6.304%,"$2,931.576",0.4759999999999991,"$7,251.9",FHA,Wholesale
JMAC Lending Inc.,5.625%,6.304%,"$2,931.576",0.09075,"$7,263.4",FHA,Wholesale
Orion Lending,5.625%,6.305%,"$2,931.576",0.666,"$7,328.3",FHA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.625%,6.306%,"$2,931.576",0.148,"$7,363.9",FHA,Wholesale
Plaza Home Mortgage Inc.,5.625%,6.307%,"$2,931.576",0.18332,"$7,416.5",FHA,Wholesale
Jet Advantage Mortgage,5.625%,6.312%,"$2,931.576",0.578000000000003,"$7,644",FHA,Wholesale
Forward Lending,5.625%,6.312%,"$2,931.576",0.578000000000003,"$7,644",FHA,Wholesale
Click n' Close,5.625%,6.322%,"$2,931.576",0.08902,"$8,183.9",FHA,Wholesale
The Loan Store LLC,5.625%,6.329%,"$2,931.576",0.09999999999999432,"$8,520",FHA,Wholesale
HomeBridge Wholesale,5.625%,6.357%,"$2,931.576",1.051,"$9,925.5",FHA,Wholesale
Union Home Mortgage,5.625%,6.590%,"$2,931.576",2.7180000000000035,"$21,470.3",FHA,Wholesale
NewRez LLC,5.625%,6.022%,"$2,976.239",-0.026,"$5,269.9",VA,Wholesale
Loan United Wholesale,5.625%,6.023%,"$2,976.239",-0.6149999999999949,"$5,290.5",VA,Wholesale
AmWest Funding Corp,5.625%,6.024%,"$2,976.239",-0.349,"$5,373.3",VA,Wholesale
"VIP Mortgage, Inc.",5.625%,6.030%,"$2,976.239",-0.29699999999999704,"$5,668",VA,Wholesale
Pennymac TPO,5.625%,6.032%,"$2,976.239",-0.23,"$5,781.8",VA,Wholesale
Loan Factory Direct - PennyMac,5.625%,6.032%,"$2,976.239",-0.23,"$5,781.8",VA,Wholesale
AFR Wholesale,5.625%,6.046%,"$2,976.239",0.0589999999999975,"$6,541.7",VA,Wholesale
Eleven Mortgage,5.625%,6.047%,"$2,976.239",2.093,"$6,572.8",VA,Wholesale
NexBank,5.625%,6.050%,"$2,976.239",-0.08356000000000563,"$6,745.7",VA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.625%,6.057%,"$2,976.239",0.086,"$7,105.2",VA,Wholesale
TPO GO,5.625%,6.066%,"$2,976.239",0.5259999999999962,"$7,570.6",VA,Wholesale
CMG Financial,5.625%,6.068%,"$2,976.239",0.501,"$7,699.9",VA,Wholesale
Loan Factory Direct - Rocket,5.625%,6.072%,"$2,976.239",0.4099999999999966,"$7,875.7",VA,Wholesale
Rocket Pro,5.625%,6.072%,"$2,976.239",0.4099999999999966,"$7,875.7",VA,Wholesale
Windsor Mortgage Solutions,5.625%,6.073%,"$2,976.239",0.1506300000000067,"$7,956.5",VA,Wholesale
Plaza Home Mortgage Inc.,5.625%,6.075%,"$2,976.239",0.29332,"$8,047.9",VA,Wholesale
Kind Lending,5.625%,6.078%,"$2,976.239",0.34998,"$8,211.6",VA,Wholesale
Loan Factory Direct - Kind Lending,5.625%,6.078%,"$2,976.239",0.34998,"$8,211.6",VA,Wholesale
Orion Lending,5.625%,6.080%,"$2,976.239",0.716,"$8,294.4",VA,Wholesale
Click n' Close,5.625%,6.080%,"$2,976.239",0.10074,"$8,318.9",VA,Wholesale
Jet Advantage Mortgage,5.625%,6.081%,"$2,976.239",0.7079999999999984,"$8,382.3",VA,Wholesale
Forward Lending,5.625%,6.081%,"$2,976.239",0.7079999999999984,"$8,382.3",VA,Wholesale
Open Mortgage,5.625%,6.082%,"$2,976.239",0.119,"$8,439.1",VA,Wholesale
The Loan Store LLC,5.625%,6.084%,"$2,976.239",0.09099999999999397,"$8,552.9",VA,Wholesale
JMAC Lending Inc.,5.625%,6.098%,"$2,976.239",0.52692,"$9,255.7",VA,Wholesale
Power TPO,5.625%,6.099%,"$2,976.239",0.1629999999999967,"$9,312.9",VA,Wholesale
Sun West Mtg Co Wholesale,5.625%,6.104%,"$2,976.239",0.60938,"$9,552.7",VA,Wholesale
Union Home Mortgage,5.625%,6.341%,"$2,976.239",2.7180000000000035,"$21,747.2",VA,Wholesale
NBKC Bank,5.625%,5.625%,"$4,123",0,N/A,Conventional,Retail
PenFed Credit Union,5.625%,6.885%,"$2,882",0.5,"$13,256",FHA,Retail
"Tomo Mortgage, LLC.",5.625%,5.846%,"$2,882",2.435,"$12,187",Conventional,Retail
"Mutual of Omaha Mortgage, Inc.",5.625%,6.014%,"$2,882",2.914,"$21,541",VA,Retail
"Mutual of Omaha Mortgage, Inc.",5.625%,7.069%,"$2,882",2.914,"$24,043",FHA,Retail
Third Federal Savings and Loan,5.740%,5.953%,"$2,917.6",2,"$11,405",Conventional,Retail
Third Federal Savings & Loan,5.740%,5.740%,"$5,492",0,N/A,Conventional,Retail
Optimum First Mortgage,5.749%,5.955%,"$2,920.46",1.806,"$11,034.03",Conventional,Retail
First Federal Bank Mortgage Lenders,5.750%,5.865%,"$2,958",0,"$5,162",VA,Retail
Chase Bank,5.750%,6.382%,"$5,629.534",1.025000999000999,"$5,725.13",Conventional,Retail
First Federal Bank,5.750%,5.864%,"$2,921",0,"$10,846.1",Conventional,Retail
Bison State Bank,5.750%,5.864%,"$2,921",0,"$10,846.1",Conventional,Retail
PenFed Credit Union,5.750%,5.951%,"$2,921",0.75,"$19,348.85",Conventional,Retail
Everstream Mortgage,5.750%,5.756%,"$4,156.202",-0.24960000000000093,$198.9,Conventional,Wholesale
Open Mortgage,5.750%,5.897%,"$4,156.202",-0.72,"$4,701.4",Conventional,Wholesale
Sun West Mtg Co Wholesale,5.750%,6.046%,"$4,156.202",-1.9012,"$9,425.1",Conventional,Wholesale
Provident Funding,5.750%,6.090%,"$4,156.202",-2.125,"$10,807.5",Conventional,Wholesale
"VIP Mortgage, Inc.",5.750%,6.106%,"$4,156.202",-1.6452199999999948,"$11,306.9",Conventional,Wholesale
NewRez LLC,5.750%,6.119%,"$4,156.202",-1.205,"$11,698.4",Conventional,Wholesale
BluePoint Mortgage,5.750%,6.121%,"$4,156.202",-1.684,"$11,763.5",Conventional,Wholesale
AD Mortgage,5.750%,6.130%,"$4,156.202",-1.6280000000000001,"$12,043.8",Conventional,Wholesale
New Wave Lending Group,5.750%,6.130%,"$4,156.202",-1.625,"$12,058.8",Conventional,Wholesale
Loan Factory Direct - Rocket,5.750%,6.133%,"$4,156.202",-1.2069999999999936,"$12,148.9",Conventional,Wholesale
Rocket Pro,5.750%,6.133%,"$4,156.202",-1.2069999999999936,"$12,148.9",Conventional,Wholesale
The Loan Store LLC,5.750%,6.134%,"$4,156.202",-1.804000000000002,"$12,163.9",Conventional,Wholesale
Power TPO,5.750%,6.138%,"$4,156.202",-1.5060000000000002,"$12,304",Conventional,Wholesale
Plaza Home Mortgage Inc.,5.750%,6.144%,"$4,156.202",-1.41471,"$12,485.7",Conventional,Wholesale
Click n' Close,5.750%,6.145%,"$4,156.202",-1.50615,"$12,503.4",Conventional,Wholesale
Loan United Wholesale,5.750%,6.149%,"$4,156.202",-1.3810000000000002,"$12,654.4",Conventional,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.750%,6.154%,"$4,156.202",-1.127,"$12,799.5",Conventional,Wholesale
AFR Wholesale,5.750%,6.155%,"$4,156.202",-1.3119999999999976,"$12,819.5",Conventional,Wholesale
AmWest Funding Corp,5.750%,6.165%,"$4,156.202",-1.412,"$13,124.8",Conventional,Wholesale
Nations Direct Mortgage,5.750%,6.167%,"$4,156.202",-1.196,"$13,204.9",Conventional,Wholesale
"National Mortgage Service, Inc. (NMSI)",5.750%,6.171%,"$4,156.202",-1.375,"$13,310",Conventional,Wholesale
Pennymac TPO,5.750%,6.172%,"$4,156.202",-1.378,"$13,345",Conventional,Wholesale
Loan Factory Direct - PennyMac,5.750%,6.172%,"$4,156.202",-1.378,"$13,345",Conventional,Wholesale
